UniversityNames,Origin,NumberOfStudents,,,,,,,
University College London,China,13975,,,,,,,
University College London,India,1000,,,,,,,
University College London,Indonesia,275,,,,,,,
University College London,Japan,250,,,,,,,
University College London,South Korea,400,,,,,,,
University College London,Malaysia,730,,,,,,,
University College London,Pakistan,135,,,,,,,
University College London,Taiwan,245,,,,,,,
BPP University,China,90,,,,,,,
BPP University,India,11620,,,,,,,
BPP University,Indonesia,5,,,,,,,
BPP University,Japan,0,,,,,,,
BPP University,South Korea,20,,,,,,,
BPP University,Malaysia,380,,,,,,,
BPP University,Pakistan,4650,,,,,,,
BPP University,Taiwan,0,,,,,,,
The University of Manchester,China,9085,,,,,,,
The University of Manchester,India,1385,,,,,,,
The University of Manchester,Indonesia,235,,,,,,,
The University of Manchester,Japan,80,,,,,,,
The University of Manchester,South Korea,175,,,,,,,
The University of Manchester,Malaysia,800,,,,,,,
The University of Manchester,Pakistan,135,,,,,,,
The University of Manchester,Taiwan,170,,,,,,,
Coventry University,China,1760,,,,,,,
Coventry University,India,8860,,,,,,,
Coventry University,Indonesia,95,,,,,,,
Coventry University,Japan,25,,,,,,,
Coventry University,South Korea,210,,,,,,,
Coventry University,Malaysia,115,,,,,,,
Coventry University,Pakistan,880,,,,,,,
Coventry University,Taiwan,25,,,,,,,
University of Hertfordshire,China,180,,,,,,,
University of Hertfordshire,India,7270,,,,,,,
University of Hertfordshire,Indonesia,60,,,,,,,
University of Hertfordshire,Japan,5,,,,,,,
University of Hertfordshire,South Korea,5,,,,,,,
University of Hertfordshire,Malaysia,90,,,,,,,
University of Hertfordshire,Pakistan,2570,,,,,,,
University of Hertfordshire,Taiwan,5,,,,,,,
The University of Glasgow,China,7525,,,,,,,
The University of Glasgow,India,1145,,,,,,,
The University of Glasgow,Indonesia,180,,,,,,,
The University of Glasgow,Japan,50,,,,,,,
The University of Glasgow,South Korea,70,,,,,,,
The University of Glasgow,Malaysia,215,,,,,,,
The University of Glasgow,Pakistan,115,,,,,,,
The University of Glasgow,Taiwan,130,,,,,,,
The University of Edinburgh,China,7165,,,,,,,
The University of Edinburgh,India,835,,,,,,,
The University of Edinburgh,Indonesia,160,,,,,,,
The University of Edinburgh,Japan,110,,,,,,,
The University of Edinburgh,South Korea,130,,,,,,,
The University of Edinburgh,Malaysia,465,,,,,,,
The University of Edinburgh,Pakistan,115,,,,,,,
The University of Edinburgh,Taiwan,130,,,,,,,
King’s College London,China,5520,,,,,,,
King’s College London,India,1190,,,,,,,
King’s College London,Indonesia,160,,,,,,,
King’s College London,Japan,110,,,,,,,
King’s College London,South Korea,210,,,,,,,
King’s College London,Malaysia,395,,,,,,,
King’s College London,Pakistan,155,,,,,,,
King’s College London,Taiwan,270,,,,,,,
"University of the Arts, London",China,6675,,,,,,,
"University of the Arts, London",India,700,,,,,,,
"University of the Arts, London",Indonesia,90,,,,,,,
"University of the Arts, London",Japan,135,,,,,,,
"University of the Arts, London",South Korea,490,,,,,,,
"University of the Arts, London",Malaysia,50,,,,,,,
"University of the Arts, London",Pakistan,30,,,,,,,
"University of the Arts, London",Taiwan,260,,,,,,,
The University of Leeds,China,5530,,,,,,,
The University of Leeds,India,1680,,,,,,,
The University of Leeds,Indonesia,180,,,,,,,
The University of Leeds,Japan,75,,,,,,,
The University of Leeds,South Korea,75,,,,,,,
The University of Leeds,Malaysia,400,,,,,,,
The University of Leeds,Pakistan,80,,,,,,,
The University of Leeds,Taiwan,120,,,,,,,
